Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
random_participants,Permanent,1,1000,11312,11.312,0.11004099999995276,0.00011004099999995275,0.11017323599999429,0.00011017323599999429,0,,,,,,
random_participants,Permanent,0.9,999,13022,13.035035035035035,0.12563799999997372,0.00012576376376373746,0.12590294899994348,0.0001260289779779214,1,200,200.0,0.002019000000000659,0.002019000000000659,0.0020210700000014015,0.0020210700000014015
random_participants,Permanent,0.8,986,14319,14.522312373225152,0.10509100000003713,0.00010658316430024049,0.10517069600006579,0.00010666399188647646,14,1240,88.57142857142857,0.007631000000003496,0.0005450714285716783,0.0076307570000047065,0.0005450540714289076
random_participants,Permanent,0.7,970,15943,16.436082474226804,0.11434800000000678,0.00011788453608248122,0.11446824199992278,0.00011800849690713688,30,1681,56.03333333333333,0.010297000000008438,0.0003432333333336146,0.010300590000007048,0.00034335300000023496
random_participants,Permanent,0.6,886,15315,17.285553047404065,0.10896300000000991,0.00012298306997743784,0.10907066399996879,0.000123104586907414,114,5110,44.824561403508774,0.03220599999997731,0.0002825087719296255,0.03223287800000563,0.00028274454385969846
random_participants,Permanent,0.5,720,13596,18.883333333333333,0.09332099999999954,0.00012961249999999936,0.09339820200008475,0.0001297197250001177,280,10311,36.825,0.0643679999999982,0.00022988571428570788,0.06440613300000564,0.0002300219035714487
random_participants,Permanent,0.4,504,10110,20.05952380952381,0.06723100000003868,0.00013339484126991802,0.06730440000000826,0.00013354047619049258,496,15519,31.288306451612904,0.09495799999999122,0.0001914475806451436,0.09505233699997717,0.00019163777620963138
random_participants,Permanent,0.3,260,5318,20.453846153846154,0.035035000000014804,0.00013475000000005694,0.035068812999970334,0.0001348800499998859,740,20403,27.57162162162162,0.12474200000002611,0.00016857027027030556,0.12482279099998195,0.0001686794472972729
random_participants,Permanent,0.2,69,1400,20.28985507246377,0.008936999999992423,0.000129521739130325,0.008942541000006798,0.0001296020434783594,931,23085,24.79591836734694,0.1382489999999983,0.00014849516648764586,0.13839492500000006,0.0001486519065520946
random_participants,Permanent,0.1,6,122,20.333333333333332,0.0008020000000001914,0.00013366666666669857,0.0008017840000000831,0.00013363066666668053,994,22064,22.197183098591548,0.13245100000001742,0.00013325050301812616,0.13259298700000954,0.00013339334708250457
random_participants,Transient,1,1000,11574,11.574,0.09161999999993142,9.161999999993142e-05,0.09171622800001344,9.171622800001344e-05,0,,,,,,
random_participants,Transient,0.9,1000,12892,12.892,0.09960699999992073,9.960699999992073e-05,0.09964239600000724,9.964239600000723e-05,0,,,,,,
random_participants,Transient,0.8,1000,14190,14.19,0.10649099999993439,0.00010649099999993439,0.10658299699992568,0.00010658299699992568,0,,,,,,
random_participants,Transient,0.7,1000,16233,16.233,0.11565899999989071,0.00011565899999989071,0.11578679100002276,0.00011578679100002276,0,,,,,,
random_participants,Transient,0.6,1000,18914,18.914,0.13475600000000654,0.00013475600000000654,0.13483772700002206,0.00013483772700002207,0,,,,,,
random_participants,Transient,0.5,1000,22255,22.255,0.1514150000000285,0.0001514150000000285,0.15151445899993377,0.00015151445899993376,0,,,,,,
random_participants,Transient,0.4,1000,27726,27.726,0.18285300000002636,0.00018285300000002637,0.1829643859999912,0.0001829643859999912,0,,,,,,
random_participants,Transient,0.3,1000,38070,38.07,0.2419350000000371,0.0002419350000000371,0.2420099679999943,0.0002420099679999943,0,,,,,,
random_participants,Transient,0.2,1000,56540,56.54,0.33904300000001086,0.00033904300000001087,0.33912794899998033,0.0003391279489999803,0,,,,,,
random_participants,Transient,0.1,1000,115052,115.052,0.6766990000000099,0.00067669900000001,0.676830197000001,0.0006768301970000011,0,,,,,,
stored_intersecting_participants,Permanent,1,1000,11619,11.619,0.08600399999999553,8.600399999999553e-05,0.08608541199993525,8.608541199993524e-05,0,,,,,,
stored_intersecting_participants,Permanent,0.9,999,12958,12.97097097097097,0.09245199999998732,9.254454454453185e-05,0.0925612229999615,9.265387687683833e-05,1,124,124.0,0.0007080000000030395,0.0007080000000030395,0.0007073139999995703,0.0007073139999995703
stored_intersecting_participants,Permanent,0.8,993,14460,14.561933534743202,0.1046290000001342,0.00010536656596186726,0.10472229099994124,0.00010546051460215633,7,518,74.0,0.003154999999999575,0.00045071428571422497,0.003174183000002273,0.000453454714286039
stored_intersecting_participants,Permanent,0.7,963,15661,16.262720664589825,0.1158880000000444,0.00012034060228457363,0.1159975900000525,0.00012045440290763499,37,2185,59.054054054054056,0.013871999999995666,0.00037491891891880175,0.013877671000003033,0.0003750721891892712
stored_intersecting_participants,Permanent,0.6,882,15395,17.454648526077097,0.11209399999993508,0.0001270907029477722,0.11217570200000893,0.00012718333560091715,118,5256,44.54237288135593,0.03328600000000037,0.00028208474576271503,0.03332868599997951,0.00028244649152525013
stored_intersecting_participants,Permanent,0.5,697,13090,18.78048780487805,0.09530900000000031,0.0001367417503586805,0.09539482399996402,0.00013686488378760977,303,11091,36.603960396039604,0.07331099999998969,0.00024195049504947093,0.0733681989999404,0.00024213927062686602
