Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
random_participants,Permanent,1,1000,15054,15.054,0.18626599999996074,0.00018626599999996073,0.1866385439999334,0.0001866385439999334,0,,,,,,
random_participants,Permanent,0.9,999,16178,16.194194194194193,0.16133900000013313,0.00016150050050063377,0.16157101399997487,0.00016173274674672158,1,225,225.0,0.001556000000000779,0.001556000000000779,0.0015563289999960261,0.0015563289999960261
random_participants,Permanent,0.8,999,18963,18.98198198198198,0.16062999999994076,0.0001607907907907315,0.16074670799996937,0.00016090761561558497,1,129,129.0,0.0008410000000012019,0.0008410000000012019,0.0008416149999987965,0.0008416149999987965
random_participants,Permanent,0.7,986,21125,21.42494929006085,0.1722179999999014,0.0001746632860039568,0.17230303499994193,0.000174749528397507,14,1241,88.64285714285714,0.00835100000000466,0.0005965000000003329,0.008333250000013948,0.0005952321428581391
random_participants,Permanent,0.6,950,22501,23.685263157894738,0.18265299999998064,0.0001922663157894533,0.182823728999999,0.00019244603052631472,50,3220,64.4,0.022592000000003054,0.0004518400000000611,0.02260149599999295,0.00045202991999985896
random_participants,Permanent,0.5,830,21924,26.4144578313253,0.17024399999989015,0.00020511325301191585,0.17042819000001685,0.00020533516867471911,170,9470,55.705882352941174,0.06498199999999343,0.0003822470588234908,0.06502074900000565,0.0003824749941176803
random_participants,Permanent,0.4,597,16670,27.922948073701843,0.12350199999996647,0.00020687102177548822,0.12356182300000995,0.00020697122780571182,403,19071,47.32258064516129,0.12702200000003216,0.0003151910669975984,0.12709932200003493,0.00031538293300256806
random_participants,Permanent,0.3,334,9440,28.263473053892216,0.06889700000002108,0.00020627844311383556,0.0689312960000592,0.00020638112574868027,666,27748,41.66366366366366,0.18614600000000792,0.00027949849849851036,0.18619379600001906,0.0002795702642642929
random_participants,Permanent,0.2,91,2753,30.252747252747252,0.019829000000008534,0.00021790109890119268,0.019842026000006285,0.00021804424175831083,909,33619,36.984598459845984,0.22089299999996115,0.00024300660066002328,0.2210324000000199,0.00024315995599562143
random_participants,Permanent,0.1,8,262,32.75,0.0017309999999923775,0.0002163749999990472,0.0017323390000072436,0.00021654237500090545,992,33005,33.27116935483871,0.21110500000005317,0.00021280745967747295,0.21125987899998222,0.00021296358770159498
random_participants,Transient,1,1000,14938,14.938,0.12830499999995482,0.00012830499999995481,0.12835881499999857,0.00012835881499999858,0,,,,,,
