Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
random_participants,Permanent,1,1000,5497,5.497,0.039031000000000926,3.903100000000093e-05,0.0390731060000028,3.90731060000028e-05,0,,,,,,
random_participants,Permanent,0.9,976,6194,6.346311475409836,0.04538299999999973,4.649897540983579e-05,0.04549503400000032,4.661376434426263e-05,24,948,39.5,0.005916999999999617,0.0002465416666666507,0.005921948000000232,0.000246747833333343
random_participants,Permanent,0.8,884,5685,6.430995475113122,0.03959100000000049,4.478619909502318e-05,0.039644815000000055,4.484707579185527e-05,116,2563,22.094827586206897,0.01522699999999988,0.0001312672413793093,0.015236580000000055,0.00013134982758620736
random_participants,Permanent,0.7,735,4770,6.489795918367347,0.03351400000000182,4.5597278911567105e-05,0.033639564000001454,4.5768114285716266e-05,265,4130,15.584905660377359,0.025254999999999583,9.530188679245125e-05,0.02528501300000119,9.54151433962309e-05
random_participants,Permanent,0.6,576,3894,6.760416666666667,0.030026000000002218,5.212847222222607e-05,0.030096912000000087,5.2251583333333485e-05,424,5313,12.53066037735849,0.03621899999999878,8.542216981131788e-05,0.03630771299999991,8.563139858490544e-05
random_participants,Permanent,0.5,435,2912,6.694252873563219,0.02035700000000218,4.67977011494303e-05,0.020381147000001043,4.685321149425527e-05,565,6032,10.676106194690265,0.03950099999999801,6.991327433627967e-05,0.03959679899999835,7.008283008849265e-05
random_participants,Permanent,0.4,261,1732,6.636015325670498,0.011578999999999784,4.4363984674328676e-05,0.01162517099999949,4.454088505746931e-05,739,6690,9.05277401894452,0.03966800000000026,5.367794316644149e-05,0.03978094700000523,5.383078078485146e-05
random_participants,Permanent,0.3,135,880,6.518518518518518,0.005819999999998604,4.311111111110077e-05,0.005854084000000093,4.336358518518587e-05,865,7136,8.249710982658959,0.04279100000000402,4.946936416185436e-05,0.04286043799999617,4.954963930635395e-05
random_participants,Permanent,0.2,51,339,6.647058823529412,0.002414999999999168,4.7352941176454274e-05,0.0024266360000002596,4.7581098039220775e-05,949,7087,7.46786090621707,0.04374800000000234,4.6099051633300676e-05,0.0438854999999958,4.624394099051191e-05
random_participants,Permanent,0.1,8,56,7.0,0.00035999999999991594,4.499999999998949e-05,0.00036211699999966207,4.526462499995776e-05,992,6594,6.647177419354839,0.03988200000000153,4.0203629032259604e-05,0.03998270800000414,4.030514919355256e-05
random_participants,Transient,1,1000,5473,5.473,0.038836000000004756,3.8836000000004756e-05,0.038959977000001755,3.895997700000176e-05,0,,,,,,
random_participants,Transient,0.9,1000,6114,6.114,0.04190699999999925,4.190699999999925e-05,0.04201851299999815,4.201851299999815e-05,0,,,,,,
random_participants,Transient,0.8,1000,6965,6.965,0.04591199999999929,4.5911999999999285e-05,0.04604754499999997,4.6047544999999965e-05,0,,,,,,
random_participants,Transient,0.7,1000,8060,8.06,0.05138400000000165,5.138400000000165e-05,0.051490035999993244,5.1490035999993246e-05,0,,,,,,
random_participants,Transient,0.6,1000,9227,9.227,0.05678500000000031,5.6785000000000304e-05,0.0569011649999942,5.69011649999942e-05,0,,,,,,
random_participants,Transient,0.5,1000,11081,11.081,0.06628499999999904,6.628499999999904e-05,0.06640288399999816,6.640288399999817e-05,0,,,,,,
random_participants,Transient,0.4,1000,13952,13.952,0.08616699999999944,8.616699999999943e-05,0.08635524600000344,8.635524600000344e-05,0,,,,,,
random_participants,Transient,0.3,1000,18421,18.421,0.10466599999999815,0.00010466599999999815,0.10484961100000101,0.00010484961100000101,0,,,,,,
random_participants,Transient,0.2,1000,26835,26.835,0.1447600000000029,0.0001447600000000029,0.14489820999999758,0.00014489820999999758,0,,,,,,
random_participants,Transient,0.1,1000,55553,55.553,0.2793539999999979,0.0002793539999999979,0.27947247000000086,0.00027947247000000084,0,,,,,,
stored_intersecting_participants,Permanent,1,1000,5530,5.53,0.03778899999999297,3.7788999999992966e-05,0.037939273000007656,3.7939273000007654e-05,0,,,,,,
stored_intersecting_participants,Permanent,0.9,971,5990,6.1688980432543765,0.040370000000021555,4.157569515965145e-05,0.040506359999994856,4.171612770339326e-05,29,1029,35.48275862068966,0.005647000000000624,0.000194724137931056,0.0056269860000002225,0.00019403400000000766
stored_intersecting_participants,Permanent,0.8,881,5598,6.354143019296254,0.03666699999999379,4.161975028376139e-05,0.036812372000005755,4.178475822929144e-05,119,2742,23.04201680672269,0.015265000000003859,0.00012827731092440218,0.0152830770000012,0.00012842921848740503
stored_intersecting_participants,Permanent,0.7,746,4969,6.660857908847185,0.03237599999999352,4.3399463806961827e-05,0.032505331000006965,4.3572829758722475e-05,254,3881,15.279527559055119,0.0217189999999996,8.550787401574646e-05,0.021772264999998292,8.571757874015075e-05
stored_intersecting_participants,Permanent,0.6,564,3699,6.558510638297872,0.024057999999997914,4.2656028368790626e-05,0.024127309000002484,4.277891666667107e-05,436,5319,12.19954128440367,0.030492000000004182,6.993577981652335e-05,0.030546203000000105,7.006009862385346e-05
stored_intersecting_participants,Permanent,0.5,419,2722,6.4964200477326965,0.017853999999996262,4.2610978520277474e-05,0.01790971999999158,4.274396181382239e-05,581,6136,10.561101549053356,0.0364299999999953,6.270223752150654e-05,0.03646184699999866,6.275705163510957e-05
stored_intersecting_participants,Permanent,0.4,265,1788,6.747169811320755,0.011691999999997371,4.4120754716971215e-05,0.011718074999997441,4.421915094338657e-05,735,6840,9.306122448979592,0.041006000000007425,5.5790476190486293e-05,0.0411096490000058,5.593149523810313e-05
stored_intersecting_participants,Permanent,0.3,144,914,6.347222222222222,0.00603800000000243,4.193055555557243e-05,0.006051481999996167,4.202418055552893e-05,856,7087,8.279205607476635,0.04158199999999823,4.857710280373625e-05,0.041669038999995855,4.8678783878499834e-05
stored_intersecting_participants,Permanent,0.2,53,355,6.69811320754717,0.0023930000000005336,4.515094339623648e-05,0.0023978320000006548,4.524211320755952e-05,947,6988,7.37909186906019,0.04159800000001557,4.3926082365380744e-05,0.041720170999999695,4.405509081309366e-05
stored_intersecting_participants,Permanent,0.1,6,34,5.666666666666667,0.00022099999999980469,3.683333333330078e-05,0.00022239400000056975,3.706566666676162e-05,994,6583,6.622736418511066,0.03878600000000043,3.902012072434651e-05,0.03887973500000941,3.9114421529184515e-05
