Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
random_participants,Permanent,1,1000,8243,8.243,0.06875300000003826,6.875300000003826e-05,0.06894794800001591,6.89479480000159e-05,0,,,,,,
random_participants,Permanent,0.9,996,9364,9.401606425702811,0.09343100000003446,9.380622489963299e-05,0.0936803239999815,9.405655020078464e-05,4,354,88.5,0.003109999999999502,0.0007774999999998755,0.003114142000001152,0.000778535500000288
random_participants,Permanent,0.8,969,10072,10.39422084623323,0.07749699999998683,7.997626418987288e-05,0.07761244100002074,8.009539834883462e-05,31,1435,46.29032258064516,0.0092790000000047,0.0002993225806453129,0.009288778000003717,0.0002996380000001199
random_participants,Permanent,0.7,896,9984,11.142857142857142,0.06807300000000893,7.597433035715282e-05,0.06818303599996334,7.609713839281622e-05,104,3458,33.25,0.020591999999991728,0.00019799999999992046,0.020607671000005823,0.00019815068269236368
random_participants,Permanent,0.6,770,9208,11.958441558441558,0.061009999999965814,7.923376623372184e-05,0.06110160399999032,7.935273246751989e-05,230,5840,25.391304347826086,0.03437699999999211,0.00014946521739127004,0.034429103000004346,0.00014969175217393195
random_participants,Permanent,0.5,592,7130,12.04391891891892,0.046666000000010754,7.882770270272086e-05,0.0467056690000085,7.889471114866301e-05,408,8756,21.46078431372549,0.05219599999999147,0.0001279313725489987,0.05221935399996802,0.00012798861274501965
random_participants,Permanent,0.4,391,4815,12.31457800511509,0.03090999999999333,7.905370843988064e-05,0.030932578999994575,7.911145524295288e-05,609,11275,18.513957307060757,0.06674099999998617,0.0001095911330049034,0.06680857100000104,0.00010970208702791631
random_participants,Permanent,0.3,172,2128,12.372093023255815,0.013785000000002157,8.014534883722184e-05,0.01381532699998722,8.032166860457686e-05,828,13744,16.59903381642512,0.08218599999998766,9.925845410626529e-05,0.08229075700001687,9.93849722222426e-05
random_participants,Permanent,0.2,48,625,13.020833333333334,0.003961000000002102,8.252083333337712e-05,0.0039676130000003695,8.265860416667437e-05,952,14086,14.796218487394958,0.08400599999997205,8.82415966386261e-05,0.08415257699994427,8.839556407557172e-05
random_participants,Permanent,0.1,4,48,12.0,0.0002999999999993008,7.49999999998252e-05,0.0003005670000018057,7.514175000045142e-05,996,13283,13.336345381526105,0.07733199999995932,7.764257028108365e-05,0.07741520900002108,7.772611345383642e-05
