Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
stored_intersecting_participants,Permanent,0.7,933,6845,7.336548767416935,0.045038000000013234,4.8272240085759095e-05,0.045141975000009715,4.8383681672036134e-05,67,1612,24.059701492537314,0.009058000000004007,0.0001351940298508061,0.009064200999998384,0.00013528658208952811
stored_intersecting_participants,Permanent,0.6,820,6527,7.959756097560976,0.04232300000001743,5.16134146341676e-05,0.04240153900000987,5.170919390245106e-05,180,3371,18.727777777777778,0.01928400000000341,0.00010713333333335227,0.01930221699999901,0.0001072345388888834
stored_intersecting_participants,Permanent,0.5,698,5680,8.137535816618911,0.03699199999997571,5.299713467045231e-05,0.03709546500000371,5.314536532951821e-05,302,4710,15.596026490066226,0.026916000000002605,8.912582781457816e-05,0.026970772000001197,8.93071920529841e-05
stored_intersecting_participants,Permanent,0.4,482,4043,8.387966804979254,0.025934999999994268,5.380705394189682e-05,0.025998022999996984,5.393780705393565e-05,518,6970,13.455598455598455,0.03980899999998666,7.68513513513256e-05,0.039877656000005146,7.698389189190182e-05
stored_intersecting_participants,Permanent,0.3,313,2634,8.415335463258787,0.01657600000000148,5.295846645367885e-05,0.01659575899999499,5.302159424918528e-05,687,8236,11.988355167394468,0.046727000000013064,6.801601164485162e-05,0.04676742500000852,6.807485443960483e-05
stored_intersecting_participants,Permanent,0.2,117,1010,8.632478632478632,0.00631100000000373,5.3940170940202824e-05,0.00632883000001172,5.4092564102664275e-05,883,9651,10.929784824462061,0.05545300000000619,6.280067950170577e-05,0.05556042600002087,6.292233975087302e-05
stored_intersecting_participants,Permanent,0.1,16,142,8.875,0.000887000000004079,5.5437500000254936e-05,0.0008923310000046314,5.577068750028946e-05,984,9742,9.90040650406504,0.05517399999999917,5.607113821138127e-05,0.055284411000002365,5.6183344512197525e-05
stored_intersecting_participants,Transient,1,1000,5594,5.594,0.03829899999999142,3.829899999999142e-05,0.03838603400003926,3.838603400003926e-05,0,,,,,,
stored_intersecting_participants,Transient,0.9,1000,6128,6.128,0.04074499999999048,4.074499999999048e-05,0.04083420400001003,4.083420400001003e-05,0,,,,,,
stored_intersecting_participants,Transient,0.8,1000,6965,6.965,0.044207000000010765,4.4207000000010766e-05,0.04430054800000782,4.4300548000007825e-05,0,,,,,,
stored_intersecting_participants,Transient,0.7,1000,7878,7.878,0.04896299999996678,4.896299999996678e-05,0.04909480399999566,4.9094803999995664e-05,0,,,,,,
stored_intersecting_participants,Transient,0.6,1000,9064,9.064,0.0552809999999635,5.52809999999635e-05,0.05545027000002456,5.545027000002456e-05,0,,,,,,
stored_intersecting_participants,Transient,0.5,1000,11020,11.02,0.06269599999999009,6.269599999999009e-05,0.06279754800000781,6.279754800000781e-05,0,,,,,,
stored_intersecting_participants,Transient,0.4,1000,14122,14.122,0.07630900000000729,7.630900000000728e-05,0.07641632900000594,7.641632900000594e-05,0,,,,,,
stored_intersecting_participants,Transient,0.3,1000,18443,18.443,0.09579100000000551,9.579100000000551e-05,0.09590173200003704,9.590173200003704e-05,0,,,,,,
stored_intersecting_participants,Transient,0.2,1000,27439,27.439,0.13814299999997637,0.00013814299999997636,0.1382570299999859,0.0001382570299999859,0,,,,,,
stored_intersecting_participants,Transient,0.1,1000,55848,55.848,0.26526800000002737,0.00026526800000002736,0.26538974799999515,0.00026538974799999516,0,,,,,,
stored_grouped_participants,Permanent,1,1000,3000,3.0,0.022541999999976525,2.2541999999976526e-05,0.02261722500001362,2.261722500001362e-05,0,,,,,,
stored_grouped_participants,Permanent,0.9,997,3336,3.346038114343029,0.018912000000026907,1.896890672018747e-05,0.019054680999985862,1.911201705113928e-05,3,14,4.666666666666667,7.700000000099294e-05,2.5666666666997646e-05,7.715799999807871e-05,2.57193333326929e-05
stored_grouped_participants,Permanent,0.8,972,3626,3.730452674897119,0.020043999999931117,2.0621399176883864e-05,0.020118345999975418,2.069788683125043e-05,28,111,3.9642857142857144,0.0006730000000043646,2.4035714285870163e-05,0.000673246000001626,2.4044500000058073e-05
stored_grouped_participants,Permanent,0.7,913,3692,4.04381161007667,0.020291999999987098,2.222562979188072e-05,0.02041335900002217,2.2358553121601498e-05,87,373,4.287356321839081,0.0021020000000060435,2.4160919540299352e-05,0.002094864999998336,2.4078908045957886e-05
stored_grouped_participants,Permanent,0.6,826,3605,4.364406779661017,0.019924000000010267,2.4121065375315094e-05,0.019982860000004266,2.4192324455210974e-05,174,793,4.557471264367816,0.004563000000006312,2.622413793107076e-05,0.004577482999994942,2.630737356318932e-05
stored_grouped_participants,Permanent,0.5,671,3168,4.721311475409836,0.016629000000000005,2.478241430700448e-05,0.016734449000011864,2.4939566318944657e-05,329,1433,4.355623100303951,0.007768999999999693,2.3613981762916998e-05,0.007829121999995081,2.3796723404240367e-05
stored_grouped_participants,Permanent,0.4,471,2365,5.021231422505308,0.01230199999999293,2.611889596601471e-05,0.012347117999992108,2.6214687898072414e-05,529,2245,4.2438563327032135,0.012279999999995184,2.3213610586002236e-05,0.012337848999990797,2.3322965973517573e-05
stored_grouped_participants,Permanent,0.3,313,1671,5.338658146964856,0.008456999999980397,2.7019169329010852e-05,0.00847800100000029,2.7086265175719776e-05,687,2989,4.3508005822416305,0.01620100000000768,2.3582241630287744e-05,0.016249457999990113,2.3652777292562028e-05
stored_grouped_participants,Permanent,0.2,124,679,5.475806451612903,0.0035510000000069653,2.863709677424972e-05,0.003567095999997605,2.8766903225787138e-05,876,3556,4.059360730593608,0.019886999999991772,2.2702054794511156e-05,0.019959886999963317,2.2785259132378217e-05
stored_grouped_participants,Permanent,0.1,15,85,5.666666666666667,0.0004689999999989425,3.126666666659616e-05,0.0004718210000049794,3.145473333366529e-05,985,3559,3.613197969543147,0.020132000000026906,2.043857868023036e-05,0.020212033000017726,2.051983045687079e-05
stored_grouped_participants,Transient,1,1000,3000,3.0,0.01671199999998052,1.671199999998052e-05,0.016855373999975498,1.6855373999975497e-05,0,,,,,,
stored_grouped_participants,Transient,0.9,1000,3335,3.335,0.01779900000000012,1.779900000000012e-05,0.017839932000038417,1.7839932000038417e-05,0,,,,,,
stored_grouped_participants,Transient,0.8,1000,3762,3.762,0.019382000000000232,1.9382000000000232e-05,0.019474195000020345,1.9474195000020346e-05,0,,,,,,
stored_grouped_participants,Transient,0.7,1000,4287,4.287,0.02164199999997507,2.164199999997507e-05,0.021711118999991896,2.1711118999991897e-05,0,,,,,,
stored_grouped_participants,Transient,0.6,1000,5016,5.016,0.024807999999969965,2.4807999999969965e-05,0.024920346999968146,2.4920346999968146e-05,0,,,,,,
stored_grouped_participants,Transient,0.5,1000,5952,5.952,0.02892599999996115,2.892599999996115e-05,0.02909524600001312,2.909524600001312e-05,0,,,,,,
stored_grouped_participants,Transient,0.4,1000,7612,7.612,0.034984999999979394,3.498499999997939e-05,0.03506124599999971,3.506124599999971e-05,0,,,,,,
stored_grouped_participants,Transient,0.3,1000,10359,10.359,0.04521999999999515,4.521999999999515e-05,0.045345030000001785,4.5345030000001785e-05,0,,,,,,
stored_grouped_participants,Transient,0.2,1000,14986,14.986,0.06269699999999467,6.269699999999467e-05,0.06279253900000548,6.279253900000548e-05,0,,,,,,
stored_grouped_participants,Transient,0.1,1000,29779,29.779,0.11692100000004935,0.00011692100000004935,0.1170713880000509,0.0001170713880000509,0,,,,,,
