Algorithm,Fault model,Availability probability,Successful repairs,Success total contacted,Success average contacted,Total success wall clock time,Average success wall clock time,Total success process time,Average success process time,Failed repairs,Fail total contacted,Fail average contacted,Total fail wall clock time,Average fail wall clock time,Total fail process time,Average fail process time
random_participants,Permanent,1,1000,20386,20.386,0.2699620000001062,0.0002699620000001062,0.27054088399995635,0.00027054088399995635,0,,,,,,
random_participants,Permanent,0.9,1000,22707,22.707,0.20462400000013758,0.0002046240000001376,0.20477393000001598,0.000204773930000016,0,,,,,,
random_participants,Permanent,0.8,998,26293,26.34569138276553,0.23145000000013738,0.0002319138276554483,0.23157712299992994,0.00023204120541075145,2,353,176.5,0.0023989999999969314,0.0011994999999984657,0.0023991440000017406,0.0011995720000008703
random_participants,Permanent,0.7,996,29789,29.90863453815261,0.2609249999998724,0.00026197289156613696,0.26114025299997223,0.0002621890090361167,4,513,128.25,0.0037699999999958322,0.0009424999999989581,0.003768518999983428,0.000942129749995857
random_participants,Permanent,0.6,969,31972,32.99484004127967,0.27381899999999604,0.00028257894736841697,0.2739635639998994,0.0002827281362228064,31,2956,95.35483870967742,0.021608000000014727,0.0006970322580649911,0.021619981000021937,0.0006974187419361915
random_participants,Permanent,0.5,840,30583,36.40833333333333,0.2544560000000331,0.0003029238095238489,0.2546514209999273,0.00030315645357134206,160,12156,75.975,0.08863999999999805,0.0005539999999999879,0.0887164350000873,0.0005544777187505457
random_participants,Permanent,0.4,595,22987,38.63361344537815,0.18157500000001647,0.00030516806722691845,0.18167772600012455,0.0003053407159665959,405,26269,64.86172839506173,0.18709799999995624,0.0004619703703702623,0.18716892900000914,0.00046214550370372626
random_participants,Permanent,0.3,361,14828,41.07479224376731,0.11082699999991519,0.0003069999999997651,0.1108801420000205,0.00030714720775628946,639,36591,57.262910798122064,0.2527399999999176,0.0003955242566508882,0.2528293949999778,0.0003956641549295427
random_participants,Permanent,0.2,81,3276,40.44444444444444,0.02378799999998904,0.00029367901234554373,0.023798832999979425,0.00029381275308616576,919,46638,50.74863982589771,0.3191200000000478,0.000347247007617027,0.3192716110000049,0.00034741198150163756
random_participants,Permanent,0.1,3,125,41.666666666666664,0.0009499999999960096,0.00031666666666533655,0.0009498939999943445,0.00031663133333144816,997,45336,45.47241725175527,0.3060470000001203,0.00030696790371125405,0.3062333630000893,0.0003071548274825369
